Pool,Project,Chain,TVL,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta,Volatility_1d,Volatility_7d,Log_TVL,APY_Risk,Cluster,APY_Rank,TVL_Rank,Risk_Score,Vol_Rank,Risk_Category
STETH,Lido,Ethereum,15080604724,3.293,3.293,0.85438,0.171,0.532,Stable/Up,2.0,Liquid Staking,,3.8604450000000003,3.8604450000000003,3.05501,,,,3.293,3.293,,,,,,,,0.171,0.532,23.436675299849515,0.14050627735671808,2,0.3974358974358974,0.0,32.66666666666667,0.6794871794871795,Low Risk
WBETH,Binance staked ETH,Ethereum,3111420302,3.23025,3.23025,0.85438,-1.30342,0.27119,Stable/Up,1.0,Liquid Staking,,3.8604450000000003,3.8604450000000003,2.9263,,,,3.23025,3.23025,,,,,,,,1.30342,0.27119,21.858345147954363,0.14778108672615164,2,0.38461538461538464,0.012820512820512775,27.58974358974359,0.4358974358974359,Low Risk
RETH,Rocket Pool,Ethereum,2130576304,2.8537,2.8537,0.85438,0.03072,0.39461,Stable/Up,1.0,Liquid Staking,,3.8604450000000003,3.8604450000000003,2.93927,,,,2.8537,2.8537,,,,,,,,0.03072,0.39461,21.479658345799137,0.1328559306697776,2,0.28205128205128205,0.02564102564102566,25.384615384615387,0.5512820512820513,Low Risk
USDT,AAVE V3,Ethereum,1524339733,1.76983,1.76983,0.85438,-0.04714,-0.89299,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,2.65337,,,,1.76983,1.76983,-3.58118,,-3.58118,3380708552.0,1856368819.0,1524339733.0,,0.04714,0.89299,21.1448271919395,0.08370037664222042,2,0.0641025641025641,0.038461538461538436,21.23076923076923,0.8461538461538461,Low Risk
USDC,AAVE V3,Ethereum,875687108,2.66796,2.66796,0.85438,0.18362,-0.14915,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,2.80009,,,,2.66796,2.66796,-4.39694,,-4.39694,2687704325.0,1812017218.0,875687107.0,,0.18362,0.14915,20.590519403589308,0.12957225350687002,2,0.2564102564102564,0.05128205128205132,19.076923076923077,0.2564102564102564,Low Risk
METH,mETH Protocol,Ethereum,629875454,3.69841,3.69841,0.85438,0.29907,-0.0978,Stable/Up,1.0,Liquid Staking,,4.52918,4.52918,3.6488,,,,3.69841,3.69841,,,,,,,,0.29907,0.0978,20.261032667330323,0.18253807990564372,2,0.5,0.0641025641025641,29.641025641025642,0.1794871794871795,Low Risk
USDS,SparkLend,Ethereum,456129779,7.27951,3.10893,7.27951,0.3424,2.07531,Stable/Up,2.0,Lending,,3.8604450000000003,3.8604450000000003,6.82584,,,,7.27951,0.0,,,,,,,SKY Farming Pool,0.3424,2.07531,19.938287932249423,0.36510206015360375,1,0.9743589743589743,0.07692307692307687,67.94871794871794,0.9358974358974359,High Risk
WETH,AAVE V3,Ethereum,375925835,2.0488,2.0488,0.85438,-1.59439,0.05512,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,2.17101,,,,2.0488,2.0488,-2.68906,,-2.68906,3626871909.0,3250946073.0,375925836.0,,1.59439,0.05512,19.744902437218027,0.10376349067889683,2,0.1282051282051282,0.08974358974358976,9.794871794871796,0.038461538461538464,Low Risk
SUPEROETHB,Origin Ether,Base,349288373,4.87119,3.10893,0.85438,0.1745,0.70836,Stable/Up,2.0,Liquid Staking,,3.8604450000000003,3.8604450000000003,4.97131,,,,4.87119,0.0,,,,,,,,0.1745,0.70836,19.67140842551287,0.24762792244617837,2,0.6538461538461539,0.10256410256410253,50.05128205128206,0.7692307692307693,Medium Risk
OSETH,StakeWise V2,Ethereum,268965687,3.08401,3.10893,0.85438,0.03367,0.13361,Stable/Up,3.0,Liquid Staking,,3.8604450000000003,3.8604450000000003,2.91377,,,,3.08401,0.0,,,,,,,,0.03367,0.13361,19.410094375527077,0.15888691421760562,2,0.3333333333333333,0.11538461538461542,24.05128205128205,0.21794871794871795,Low Risk
ETHX,Stader,Ethereum,230172946,3.15773,3.15773,0.85438,0.26209,0.00617,Stable/Up,2.0,Liquid Staking,,3.15773,3.15773,2.89319,,,,3.15773,3.15773,,,,,,,,0.26209,0.00617,19.254341527797873,0.1640009343057057,2,0.358974358974359,0.1282051282051282,21.58974358974359,0.01282051282051282,Low Risk
USUALUSDC+,Morpho Blue,Ethereum,214686356,5.43704,5.09176,0.34528,0.24175,-0.52901,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,7.75793,,,,5.43704,5.09176,,,,,,,,0.24175,0.52901,19.184688716349303,0.28340517171730406,1,0.7564102564102564,0.14102564102564108,54.153846153846146,0.6666666666666666,Medium Risk
USDC,Fluid Lending,Ethereum,209835520,4.15,1.74,2.41,-0.46,-1.02,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,5.62525,,,,4.15,1.74,,,,,,,,0.46,1.02,19.161834548460927,0.2165763403031432,2,0.5897435897435898,0.15384615384615385,51.17948717948718,0.8974358974358975,Medium Risk
CBETH,Coinbase Wrapped Staked ETH,Ethereum,204541427,3.10893,3.10893,0.85438,-0.09615,-0.07227,Stable/Up,2.0,Liquid Staking,,3.8604450000000003,3.8604450000000003,3.21875,,,,3.10893,3.10893,,,,,,,,0.09615,0.07227,19.136281094837276,0.16246260099297713,2,0.34615384615384615,0.16666666666666663,23.48717948717949,0.07692307692307693,Low Risk
USDT,Fluid Lending,Ethereum,197978563,5.31,2.76,2.55,0.86,-0.36,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,5.78452,,,,5.31,2.76,,,,,,,,0.86,0.36,19.103669320171726,0.27795707259197194,1,0.717948717948718,0.17948717948717952,50.97435897435897,0.5384615384615384,Medium Risk
LSETH,Liquid Collective,Ethereum,186296509,6.64093,6.64093,0.85438,1.81272,4.22994,Down,3.0,Liquid Staking,,6.64093,6.64093,3.16004,,,,6.64093,6.64093,,,,,,,,1.81272,4.22994,19.04285010217037,0.34873613793993546,0,0.9230769230769231,0.1923076923076923,70.2051282051282,0.9871794871794872,High Risk
SFRXETH,Frax Ether,Ethereum,131966281,3.51877,3.51877,0.85438,-0.05759,0.14616,Stable/Up,2.0,Liquid Staking,,3.8604450000000003,3.8604450000000003,3.13593,,,,3.51877,3.51877,,,,,,,,0.05759,0.14616,18.698057008526508,0.18818907217982084,2,0.46153846153846156,0.20512820512820518,33.5897435897436,0.24358974358974358,Medium Risk
USDC,Compound V3,Ethereum,126927605,3.73919,3.54047,0.19873,0.02763,-0.02655,Stable/Up,1.0,Lending,,3.8604450000000003,3.8604450000000003,4.09056,,,,3.73919,3.54047,-4.62161,0.269,-4.35261,506304443.0,379376839.0,126927604.0,,0.02763,0.02655,18.659127450397083,0.2003946867258483,2,0.5128205128205128,0.21794871794871795,32.1025641025641,0.02564102564102564,Low Risk
BBQUSDC,Morpho Blue,Ethereum,124312896,5.70204,5.10271,0.59934,0.20901,-0.23648,Stable/Up,3.0,Lending,,3.8604450000000003,3.8604450000000003,6.22434,,,,5.70204,5.10271,,,,,,,,0.20901,0.23648,18.63831230813797,0.3059311329121973,1,0.8076923076923077,0.23076923076923073,53.84615384615385,0.38461538461538464,Medium Risk
STEAKUSDC,Morpho Blue,Ethereum,118274145,4.50838,3.654,0.85438,0.37844,0.31963,Stable/Up,1.0,Lending,,3.8604450000000003,3.8604450000000003,5.1068,,,,4.50838,3.654,,,,,,,,0.37844,0.31963,18.588515758994628,0.24253577092719092,2,0.6153846153846154,0.2435897435897436,47.07692307692308,0.48717948717948717,Medium Risk
